Date,AirPort,Max TemperatureC,MeanDew PointC,Max Humidity,Max Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Precipitationmm,CloudCover,WindDirDegrees,Rain,Thunderstorm,Fog,Snow,Hail,Tornado,latitude_deg,longitude_deg,elevation_ft,2018,2017,2016,2015,2017GDPPerCapita,Weekday,Weekend,Weekend_approx,Busiest_top5,National_holidays,State_holidays,OtherAirports,M,N,S,W,arrival_avg_WeeksToDeparture,arrival_avg_stdwtd,arrival_avg_output,departure_avg_WeeksToDeparture,departure_avg_stdwtd,departure_avg_output,DistanceToClosestHoliday,Fog_importance,Tornado_Magnitude
2011-09-11,ATL,30,11,72,1020,16,16,16,21,6,0.0,2,294,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,6,0,0
2011-09-12,ATL,31,13,73,1021,16,16,14,24,11,0.0,1,303,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,7,0,0
2011-09-13,ATL,32,13,78,1018,16,16,16,21,10,0.0,2,319,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,8,0,0
2011-09-14,ATL,33,12,63,1016,16,16,16,21,6,0.0,3,330,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,9,0,0
2011-09-15,ATL,30,15,78,1018,16,16,16,35,16,0.0,5,305,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,10,0,0
2011-09-16,ATL,22,11,80,1024,16,16,16,37,19,0.0,5,65,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,11,0,0
2011-09-17,ATL,26,9,72,1025,16,16,16,26,14,0.0,4,84,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,12,0,0
2011-09-18,ATL,25,13,86,1026,16,16,16,26,17,0.0,5,97,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,13,0,0
2011-09-19,ATL,25,13,78,1022,16,16,16,26,18,0.0,6,89,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,14,0,0
2011-09-20,ATL,28,16,90,1020,16,15,10,26,16,1.52,8,92,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,15,0,0
2011-09-21,ATL,30,19,90,1019,16,12,1,21,8,0.1,7,128,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,16,0,0
2011-09-22,ATL,27,20,93,1021,16,13,3,16,9,12.45,7,126,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,17,0,0
2011-09-23,ATL,28,17,93,1019,16,13,3,37,11,20.57,6,314,1,1,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,17,0,0
2011-09-24,ATL,28,10,87,1016,16,16,16,23,9,0.0,1,317,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,16,0,0
2011-09-25,ATL,31,14,79,1016,16,16,16,21,9,0.0,2,136,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,15,0,0
2011-09-26,ATL,30,18,90,1015,16,16,11,29,14,0.25,5,189,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,14,0,0
2011-09-27,ATL,29,18,90,1014,16,13,5,34,12,0.1,4,285,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,13,0,0
2011-09-28,ATL,26,18,93,1014,16,16,14,19,9,0.0,6,257,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,12,0,0
2011-09-29,ATL,29,14,93,1014,16,16,13,24,11,0.0,2,285,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,11,0,0
2011-09-30,ATL,26,9,78,1014,16,16,16,37,21,0.0,1,306,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,10,0,0
2011-10-01,ATL,18,3,80,1019,16,16,16,39,22,0.0,0,333,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,9,0,0
2011-10-02,ATL,20,2,76,1020,16,16,16,32,16,0.0,0,329,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,8,0,0
2011-10-03,ATL,24,1,71,1023,16,16,16,27,13,0.0,0,321,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,7,0,0
2011-10-04,ATL,27,5,66,1025,16,16,16,19,8,0.0,0,339,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,6,0,0
2011-10-05,ATL,28,8,72,1025,16,16,16,16,5,0.0,0,61,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,5,0,0
2011-10-06,ATL,27,9,77,1026,16,16,16,26,14,0.0,2,85,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,4,0,0
2011-10-07,ATL,26,9,77,1028,16,16,16,29,18,0.0,0,85,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,3,0,0
2011-10-08,ATL,26,9,67,1029,16,16,16,39,22,0.0,3,82,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,2,0,0
2011-10-09,ATL,22,10,67,1026,16,16,16,37,26,0.0,8,70,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,1,0,0
2011-10-10,ATL,20,15,90,1021,16,13,4,45,31,3.05,8,61,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,1,1,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,0,0,0
2011-10-11,ATL,18,14,93,1015,16,11,4,42,26,5.08,8,65,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,1,0,0
2011-10-12,ATL,23,14,87,1012,16,15,5,26,9,0.1,8,60,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,2,0,0
2011-10-13,ATL,23,14,93,1009,16,13,2,29,12,10.16,7,236,1,1,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,3,0,0
2011-10-14,ATL,25,8,93,1014,16,16,16,35,16,0.0,0,278,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,4,0,0
2011-10-15,ATL,27,6,66,1020,16,16,16,32,15,0.0,0,287,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,5,0,0
2011-10-16,ATL,29,6,74,1022,16,16,16,19,7,0.0,0,281,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,6,0,0
2011-10-17,ATL,29,9,67,1017,16,16,16,23,7,0.0,0,238,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,7,0,0
2011-10-18,ATL,27,16,93,1011,16,13,2,24,9,9.4,5,143,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,8,0,0
2011-10-19,ATL,19,10,93,1008,16,13,0,39,22,7.87,8,280,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,9,0,0
2011-10-20,ATL,15,3,89,1018,16,16,16,35,18,0.0,5,276,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,10,0,0
2011-10-21,ATL,17,2,85,1021,16,16,16,29,13,0.0,0,294,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,11,0,0
2011-10-22,ATL,20,3,82,1022,16,16,16,16,9,0.0,0,320,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,12,0,0
2011-10-23,ATL,21,5,83,1021,16,16,16,14,3,0.0,3,168,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,13,0,0
2011-10-24,ATL,23,8,83,1022,16,16,14,24,10,0.76,3,324,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,14,0,0
2011-10-25,ATL,24,7,77,1025,16,16,16,21,8,0.0,0,149,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,15,0,0
2011-10-26,ATL,25,7,77,1021,16,16,16,26,8,0.0,1,228,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,16,0,0
2011-10-27,ATL,26,11,83,1015,16,16,16,27,11,0.0,2,251,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,15,0,0
2011-10-28,ATL,23,11,89,1015,16,15,3,23,11,6.6,6,330,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,14,0,0
2011-10-29,ATL,15,2,92,1022,16,15,6,37,22,0.25,3,340,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,13,0,0
2011-10-30,ATL,16,-2,70,1026,16,16,16,23,9,0.0,3,104,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,12,0,0
2011-10-31,ATL,18,0,76,1024,16,16,16,16,7,0.0,1,56,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,11,0,0
2011-11-01,ATL,20,1,70,1027,16,16,16,27,6,0.0,1,80,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,10,0,0
2011-11-02,ATL,20,2,76,1029,16,16,16,24,11,0.0,0,104,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,9,0,0
2011-11-03,ATL,22,8,90,1024,16,13,2,40,16,14.48,5,227,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,8,0,0
2011-11-04,ATL,17,4,83,1020,16,16,16,40,24,0.0,3,325,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,7,0,0
2011-11-05,ATL,16,1,86,1027,16,16,13,37,18,0.0,0,66,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,6,0,0
2011-11-06,ATL,19,4,77,1030,16,16,16,29,17,0.0,3,81,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,5,0,0
2011-11-07,ATL,22,8,86,1029,16,16,16,19,9,0.0,2,94,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,4,0,0
2011-11-08,ATL,22,9,83,1025,16,16,16,19,10,0.0,3,104,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,3,0,0
2011-11-09,ATL,22,11,83,1021,16,15,5,24,9,1.27,6,184,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,2,0,0
2011-11-10,ATL,15,2,87,1020,16,16,13,40,25,0.1,5,319,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,1,0,0
2011-11-11,ATL,14,-8,59,1024,16,16,16,26,10,0.0,0,300,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,1,1,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,0,0,0
2011-11-12,ATL,18,-3,75,1027,16,16,16,19,6,0.0,4,205,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,1,0,0
2011-11-13,ATL,22,3,67,1025,16,16,16,29,11,0.0,5,182,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,2,0,0
2011-11-14,ATL,26,11,77,1021,16,16,16,32,12,0.1,6,189,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,0,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,3,0,0
2011-11-15,ATL,24,16,93,1017,16,12,2,32,8,4.06,7,212,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,1,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,4,0,0
2011-11-16,ATL,24,17,93,1014,16,13,3,35,16,9.4,7,217,1,1,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,2,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,5,0,0
2011-11-17,ATL,14,1,86,1027,16,16,16,37,24,0.1,3,328,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,3,0,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,6,0,0
2011-11-18,ATL,12,-7,63,1032,16,16,16,29,15,0.0,1,91,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,4,0,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,6,0,0
2011-11-19,ATL,17,0,62,1030,16,16,16,26,15,0.0,7,100,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,5,1,0,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,5,0,0
2011-11-20,ATL,21,11,96,1028,16,11,2,16,8,3.05,7,102,1,0,0,0,0,0,33.6367,-84.428101,1026.0,51866464,50251964,50501858,49340732,56840.0,6,1,1,1,0,0,0,0,0,1,0,10.62122531107448,8.365851861583362,10.930859174136753,10.675857708815856,8.327479648786497,10.998075831162284,4,0,0
